id,age_in_days,activity_in_days,hp_overlap_rate,n_ips_reported
42266,116,116,0.04,3636
11213,211,157,0.31,1555
87345,30,28,0.09,70
85892,32,31,0.71,136
9695,240,234,0.02,17932
27251,162,153,0.21,780
100051,23,16,0.61,33
97361,24,21,0.03,63
93185,26,26,0.02,473
290,378,341,0.16,1011
81404,38,38,0.25,151
60845,78,64,0.29,205
100355,22,16,0.64,39
85496,32,32,0.05,361
95000,25,25,0.1,434
11058,232,219,0.24,2105
100347,23,21,0.43,47
82528,37,37,0.06,217
298,376,368,0.13,1834
86785,31,31,0.04,767
74904,46,28,0.33,43
94901,25,25,0.04,552
91502,4,4,0.07,14
58040,84,84,0.13,346
6395,253,247,0.22,2118
48239,104,99,0.23,291
85332,30,22,0.67,36
20882,198,134,0.18,808
101611,1,1,0.0,1
92954,26,20,0.0,39
39362,122,79,0.24,1440
101865,1,1,0.0,1
69590,59,59,0.24,947
43982,114,111,0.15,147
43983,114,114,0.25,101
44741,113,113,0.03,1111
42299,115,114,0.09,265
43984,114,110,0.18,121
44114,114,105,0.2,227
43883,114,109,0.08,303
43985,114,101,0.1,234
92097,25,22,0.12,48
95332,25,25,0.07,97
58172,84,84,0.37,234
3589,278,272,0.17,2768
73715,49,49,0.3,585
87741,30,25,0.1,62
53651,92,88,0.03,637
10025,239,219,0.39,247
90413,27,26,0.13,123
20387,199,191,0.2,413
521,338,332,0.27,1703
83681,35,35,0.18,128
36128,129,123,0.28,302
78104,42,35,0.32,62
50120,100,99,0.45,350
81734,33,33,0.29,94
100614,1,1,0.0,2
42332,116,116,0.07,1211
45995,109,93,0.2,625
60680,79,68,0.22,135
18968,206,200,0.26,606
20453,199,193,0.14,4465
77084,43,43,0.04,1385
95562,9,9,0.4,146
23225,183,183,0.03,12364
94640,25,25,0.12,1861
101402,1,1,0.0,1
30056,151,143,0.01,8330
58535,83,83,0.14,2111
87543,30,30,0.13,358
46325,109,91,0.3,155
85002,33,33,0.13,252
88664,29,29,0.17,124
80975,38,38,0.07,401
42530,116,112,0.37,297
86321,31,31,0.0,70
101617,1,1,0.0,1
101601,1,1,0.0,1
458,348,342,0.05,4000
64277,70,35,0.43,54
13358,224,197,0.46,594
79,393,259,0.32,576
51968,90,61,0.28,82
11477,229,196,0.07,367
31805,142,142,0.13,1616
52694,93,49,0.34,67
800,308,114,0.23,219
320,371,365,0.32,1987
85497,32,29,0.18,93
26591,164,164,0.14,1092
74342,39,39,0.28,260
3898,274,230,0.08,809
43718,114,114,0.02,2423
72795,51,51,0.26,373
48206,102,87,0.18,173
99895,1,1,0.0,2
41870,116,100,0.29,250
11345,229,178,0.19,324
98,394,322,0.1,718
92591,26,26,0.58,98
101052,1,1,0.0,1
70877,55,55,0.07,484
85991,28,26,0.42,53
100654,1,1,0.0,2
87146,25,11,0.09,11
98342,23,19,0.53,47
70020,57,47,0.27,109
93218,26,26,0.13,599
97051,7,5,0.54,24
95759,18,18,0.2,64
27119,162,162,0.2,1073
25238,169,169,0.43,823
95429,25,25,0.39,511
39032,122,121,0.19,346
24743,173,162,0.44,236
47,400,386,0.02,121623
26855,163,163,0.37,606
26856,163,163,0.18,5900
71903,52,52,0.18,268
57479,85,84,0.18,302
39264,122,122,0.43,585
61835,74,74,0.19,236
35633,131,108,0.33,271
688,323,114,0.44,129
100949,1,1,0.0,2
56225,87,87,0.33,424
13523,218,106,0.77,131
49031,101,62,0.35,265
801,311,305,0.18,1690
64805,68,68,0.1,628
94840,25,25,0.11,323
437,352,346,0.31,2175
91935,6,6,0.3,44
19067,205,193,0.5,567
97937,18,17,0.0,63
37448,119,119,0.0,7
394,357,337,0.16,1587
100963,23,23,0.17,189
49097,102,102,0.14,1345
90182,27,26,0.43,72
28406,157,135,0.8,267
94639,25,25,0.08,1514
57710,82,53,0.69,70
22103,186,181,0.51,648
39890,119,47,0.41,34
38735,123,94,0.43,202
590,332,249,0.08,13366
413,355,349,0.14,1628
43322,115,115,0.04,6509
101436,1,1,0.0,1
94142,23,15,0.29,24
96617,24,24,0.25,68
100945,1,1,0.0,1
43553,115,115,0.04,3921
85397,32,32,0.44,133
101439,1,1,0.0,1
11059,214,78,0.4,249
96782,5,5,0.36,11
95066,25,25,0.09,1023
49394,86,86,0.26,425
30584,149,147,0.36,361
36029,130,130,0.21,1040
55136,83,83,0.4,235
20090,201,190,0.33,457
69293,59,59,0.19,474
19793,202,172,0.27,509
52727,84,81,0.47,213
51869,96,83,0.35,181
44807,113,110,0.51,256
59327,82,79,0.4,194
37085,128,122,0.38,544
88301,29,29,0.49,104
78632,41,41,0.44,118
19232,206,189,0.35,378
54212,91,89,0.42,193
65597,67,67,0.21,438
92492,26,26,0.55,71
19925,202,116,0.45,525
69326,59,52,0.44,121
88532,8,8,0.38,100
76125,25,7,0.17,18
62495,74,66,0.33,137
30320,149,148,0.29,349
99756,1,1,0.0,1
100445,1,1,0.0,1
63287,73,73,0.13,1952
3505,280,123,0.48,274
8705,242,236,0.12,804
96155,25,25,0.04,380
92426,21,13,0.71,7
100953,1,1,0.0,1
62693,74,63,0.83,63
72725,51,51,0.15,327
